RAM,brand,capacity,color,depth,display_size,fingerprint,generation/release,graphics_card,height,item_title,operating_system,operating_system_architecture,price,touch_display,weight,width
8 GB RAM,Huawei,256 GB SSD,Silver,22.10 cm ( 8.70 in ),"14""",Yes,2018,NVIDIA GeForce MX150 (2 GB),1.49 cm ( .59 in ),MateBook D Volta,Windows 10,64 bit,3799.0,No,1.29 kg ( 2.84 lb ),32.30 cm ( 12.72 in )
4 GB RAM,Dell,1 TB HDD,Black,260.30 mm ( 10.25 in ),"15.6""",NA,2018,Intel HD Graphics 620,23.65 mm ( .93 in ),Inspiron 15 3567,Windows 10,64 bit,1849.0,No,2.30 kg ( 5.07 lb ),380.00 mm ( 14.96 in )
8 GB RAM,Apple,128 GB (PCIe SSD),Gold,21.24 cm ( 8.36 in ),"13.3""",Yes,2018,Intel UHD Graphics 617,1.56 cm ( .61 in ),MacBook Air (Retina),macOS Mojave,Not Specified,5199.0,No,1.25 kg ( 2.76 lb ),30.41 cm ( 11.97 in )
8 GB RAM,Huawei,128 GB SSD/1 TB HDD,Grey,23.90 cm ( 9.41 in ),"15.6""",NA,2018,NVIDIA GeForce MX150 (2 GB),1.69 cm ( .67 in ),MateBook D,Windows 10,64 bit,2799.0,No,1.90 kg ( 4.19 lb ),35.80 cm ( 14.09 in )
8 GB RAM,Huawei,256 GB NVMe M.2 SSD,Mystic Silver,21.70 cm ( 8.54 in ),"13.88""",Yes,2018,NVIDIA GeForce MX150 (2 GB),1.46 cm ( .57 in ),MateBook X Pro,Windows 10,64 bit,5999.0,Yes,1.29 kg ( 2.84 lb ),30.40 cm ( 11.97 in )
8 GB RAM,Apple,128 GB SSD,Space Gray,21.24 cm ( 8.36 in ),"13.3""",NA,2017,Intel Iris Plus Graphics 640,1.49 cm ( .59 in ),MacBook Pro (Retina),macOS Sierra,NA,10199.0,NA,1.37 kg ( 3.02 lb ),30.41 cm ( 11.97 in )
8 GB RAM,Apple,128 GB (PCIe Flash),Silver,22.70 cm ( 8.94 in ),"13.3""",NA,2017,Intel HD Graphics 6000,1.70 cm ( .67 in ),MacBook Air,macOS Sierra,NA,5199.0,NA,1.35 kg ( 2.98 lb ),32.50 cm ( 12.80 in )
8 GB RAM,Apple,128 GB (PCIe Flash),Silver,22.70 cm ( 8.94 in ),"13.3""",NA,2017,Intel HD Graphics 6000,1.70 cm ( .67 in ),MacBook Air,macOS Sierra,Not Specified,4799.0,No,1.35 kg ( 2.98 lb ),32.50 cm ( 12.80 in )
16 GB RAM,HP,1 TB PCIe NVMe M.2 SSD,Natural Silver,1.49 cm ( .59 in ),"13.3""",NA,2018,NVIDIA GeForce MX150 (2 GB),21.20 cm ( 8.35 in ),ENVY 13-ah0002nx,Windows 10,64 bit,5349.0,No,1.30 kg ( 2.87 lb ),30.70 cm ( 12.09 in )
8 GB RAM,Microsoft,256 GB SSD,Platinum,223.20 mm ( 8.79 in ),"13.5""",NA,2018,Intel UHD Graphics 620,14.47 mm ( .57 in ),Surface 2,Windows 10 S,64 bit,5799.0,Yes,1.25 kg ( 2.76 lb ),308.02 mm ( 12.13 in )
8 GB RAM,Microsoft,128 GB SSD,Platinum,223.20 mm ( 8.79 in ),"13.5""",NA,2018,Intel UHD Graphics 620,14.47 mm ( .57 in ),Surface 2,Windows 10 S,64 bit,5799.0,Yes,1.25 kg ( 2.76 lb ),308.02 mm ( 12.13 in )
16 GB RAM,HP,512 GB NVMe M.2 SSD,Mineral Silver,1.79 cm ( .70 in ),"15.6""",NA,2019,NVIDIA GeForce GTX 1050 (3 GB),24.56 cm ( 9.67 in ),Pavilion 15-cs2012nx,Windows 10,64 bit,4599.0,No,1.94 kg ( 4.28 lb ),36.16 cm ( 14.24 in )
12 GB RAM,Lenovo,1 TB PCIe NVMe M.2 SSD,Abyss Blue,1.59 cm ( .63 in ),"14""",Yes,2019,NVIDIA GeForce MX250 (2 GB),22.70 cm ( 8.94 in ),IdeaPad S540,Windows 10,64 bit,3499.0,No,1.50 kg ( 3.31 lb ),32.30 cm ( 12.72 in )
8 GB RAM,Lenovo,128 GB PCIe NVMe M.2 SSD/1 TB HDD,Abyss Blue,1.79 cm ( .70 in ),"15.6""",NA,2019,NVIDIA GeForce MX250 (2 GB),24.50 cm ( 9.65 in ),IdeaPad S340,Windows 10,64 bit,2599.0,No,1.80 kg ( 3.97 lb ),35.80 cm ( 14.09 in )
8 GB RAM,Lenovo,128 GB SSD/1 TB HDD,Abyss Blue,1.79 cm ( .70 in ),"15.6""",NA,2019,NVIDIA GeForce MX230 (2 GB),24.50 cm ( 9.65 in ),IdeaPad S340,Windows 10,64 bit,2299.0,No,1.80 kg ( 3.97 lb ),35.80 cm ( 14.09 in )
4 GB RAM,Lenovo,1 TB HDD,Abyss Blue,1.79 cm ( .70 in ),"14""",NA,2019,Intel UHD Graphics,32.20 cm ( 12.68 in ),IdeaPad S340-14IIL,Windows 10,64 bit,1799.0,No,1.60 kg ( 3.53 lb ),23.00 cm ( 9.06 in )
4 GB RAM,Lenovo,1 TB HDD,Platinum Grey,1.79 cm ( .70 in ),"14""",NA,2019,Intel UHD Graphics,32.20 cm ( 12.68 in ),IdeaPad S340-14IIL,Windows 10,64 bit,1799.0,No,1.60 kg ( 3.53 lb ),23.00 cm ( 9.06 in )
4 GB RAM,HP,1 TB HDD,Black,2.25 cm ( .89 in ),"15.6""",NA,2019,Intel UHD Graphics 620,24.60 cm ( 9.69 in ),15-da1005nx,Windows 10,64 bit,2199.0,No,3.10 kg ( 6.83 lb ),34.60 cm ( 13.62 in )
4 GB RAM,HP,1 TB HDD,Twilight Blue,2.25 cm ( .89 in ),"15.6""",NA,2019,Intel UHD Graphics 620,24.60 cm ( 9.69 in ),15-da1005nx,Windows 10,64 bit,2199.0,No,3.10 kg ( 6.83 lb ),34.60 cm ( 13.62 in )
4 GB RAM,HP,1 TB HDD,Black,2.25 cm ( .89 in ),"15.6""",NA,2019,Intel UHD Graphics 620,26.60 cm ( 10.47 in ),15-da1016nx,Windows 10,64 bit,2199.0,No,3.10 kg ( 6.83 lb ),37.60 cm ( 14.80 in )
4 GB RAM,HP,1 TB HDD,Twilight Blue,2.25 cm ( .89 in ),"15.6""",NA,2019,Intel UHD Graphics 620,26.60 cm ( 10.47 in ),15-da1018nx,Windows 10,64 bit,2199.0,No,3.10 kg ( 6.83 lb ),37.60 cm ( 14.80 in )
4 GB RAM,Lenovo,1 TB HDD,Platinum Grey,1.79 cm ( .70 in ),"14""",NA,2019,Intel GMA HD,23.05 cm ( 9.07 in ),IdeaPad S340,Windows 10,64 bit,1849.0,No,1.60 kg ( 3.53 lb ),32.27 cm ( 12.70 in )
4 GB RAM,Lenovo,1 TB HDD,Abyss Blue,1.79 cm ( .70 in ),"14""",NA,2019,Intel UHD Graphics,32.20 cm ( 12.68 in ),IdeaPad S340-14IIL,Windows 10,64 bit,1579.0,No,1.60 kg ( 3.53 lb ),23.00 cm ( 9.06 in )
4 GB RAM,Lenovo,1 TB HDD,Platinum Grey,1.79 cm ( .70 in ),"14""",NA,2019,Intel UHD Graphics,32.20 cm ( 12.68 in ),IdeaPad S340-14IIL,Windows 10,64 bit,1579.0,No,1.60 kg ( 3.53 lb ),25.00 cm ( 9.84 in )
4 GB RAM,Lenovo,1 TB HDD,Platinum Grey,1.79 cm ( .70 in ),"14""",NA,2019,Intel GMA HD,23.05 cm ( 9.07 in ),IdeaPad S340,Windows 10,64 bit,1579.0,No,1.60 kg ( 3.53 lb ),32.27 cm ( 12.70 in )
4 GB RAM,HP,500 GB HDD,Smoke Grey,24.00 cm ( 9.45 in ),"14""",NA,2018,Intel HD Graphics 600,2.37 cm ( .93 in ),14-ck0008nx,Windows 10,64 bit,1899.0,No,1.90 kg ( 4.19 lb ),34.00 cm ( 13.39 in )
4 GB RAM,HP,64 GB (eMMC),Smoke Grey,1.79 cm ( .70 in ),"14""",NA,2019,Intel UHD Graphics 600,22.60 cm ( 8.90 in ),Stream 14-cb104nx,Windows 10,64 bit,959.0,No,1.44 kg ( 3.17 lb ),33.70 cm ( 13.27 in )
4 GB RAM,HP,64 GB (eMMC),White,1.68 cm ( .66 in ),"11.6""",NA,2019,Intel GMA HD,19.28 cm ( 7.59 in ),Stream 11-ak0000nx,Windows 10,64 bit,819.0,No,1.05 kg ( 2.31 lb ),28.15 cm ( 11.08 in )
4 GB RAM,Lenovo,1 TB HDD,Onyx Black,26.00 cm ( 10.24 in ),"15.6""",NA,2018,Intel UHD Graphics 600,2.29 cm ( .90 in ),IdeaPad 330,Windows 10,64 bit,1279.0,No,2.20 kg ( 4.85 lb ),37.80 cm ( 14.88 in )
4 GB RAM,Lenovo,64 GB (eMMC),Midnight Blue,25.50 cm ( 10.04 in ),"14""",NA,2018,Intel UHD Graphics 600,1.86 cm ( .73 in ),IdeaPad S130-14IGM,Windows 10,64 bit,999.0,No,1.47 kg ( 3.24 lb ),33.40 cm ( 13.15 in )
4 GB RAM,Dell,1 TB HDD,Platinum Silver,24.19 cm ( 9.52 in ),"14""",NA,2019,Intel HD Graphics 620,1.99 cm ( .78 in ),Inspiron 14 3481,Windows 10,64 bit,2199.0,No,1.79 kg ( 3.95 lb ),33.90 cm ( 13.35 in )
4 GB RAM,Lenovo,500 GB HDD,Grey,1.99 cm ( .78 in ),"15.6""",NA,2019,Intel GMA HD,25.25 cm ( 9.94 in ),IdeaPad S145,Windows 10,64 bit,1199.0,No,1.85 kg ( 4.08 lb ),36.22 cm ( 14.26 in )
8 GB RAM,Dell,512 GB SSD,Silver,23.50 cm ( 9.25 in ),"15.6""",NA,2019,NVIDIA GeForce GTX 1650 (4 GB),1.12 cm ( .44 in ),XPS 15 7590,Windows 10,64 bit,6999.0,No,1.80 kg ( 3.97 lb ),35.70 cm ( 14.06 in )
8 GB RAM,HP,1 TB HDD,Natural Silver,2.25 cm ( .89 in ),"15.6""",NA,2019,NVIDIA GeForce MX130 (4 GB),37.60 cm ( 14.80 in ),15-da2006nx,Windows 10,64 bit,3149.0,No,1.77 kg ( 3.90 lb ),24.60 cm ( 9.69 in )
4 GB RAM,HP,128 GB M.2 SSD,Natural Silver,1.99 cm ( .78 in ),"14""",NA,2019,Intel GMA HD,32.40 cm ( 12.76 in ),14s-dq1003nx,Windows 10,64 bit,1899.0,No,1.51 kg ( 3.33 lb ),22.50 cm ( 8.86 in )
8 GB RAM,HP,128 GB PCIe NVMe M.2 SSD/1 TB HDD,Mineral Silver,1.79 cm ( .70 in ),"15.6""",NA,2019,NVIDIA GeForce MX130 (2 GB),32.10 cm ( 12.64 in ),Pavilion 15-cs3001nx,Windows 10,64 bit,2899.0,No,1.94 kg ( 4.28 lb ),24.50 cm ( 9.65 in )
8 GB RAM,HP,1 TB HDD,Jet Black,2.25 cm ( .89 in ),"15.6""",NA,2019,NVIDIA GeForce MX130 (4 GB),37.60 cm ( 14.80 in ),15-da2005nx,Windows 10,64 bit,3149.0,No,1.77 kg ( 3.90 lb ),24.60 cm ( 9.69 in )
4 GB RAM,Acer,64 GB (eMMC),Black,24.50 cm ( 9.65 in ),"14""",NA,2019,Intel UHD Graphics 600,1.80 cm ( .71 in ),Aspire 1 A114-32,Windows 10 S,Not Specified,999.0,No,1.70 kg ( 3.75 lb ),34.30 cm ( 13.50 in )
4 GB RAM,Acer,128 GB M.2 SSD,Blue,25.90 cm ( 10.20 in ),"15.6""",NA,2019,Intel UHD Graphics 620,1.99 cm ( .78 in ),Aspire 3 A315-54,Windows 10,64 bit,1699.0,No,1.90 kg ( 4.19 lb ),38.16 cm ( 15.02 in )
4 GB RAM,Acer,1 TB HDD,Blue,25.90 cm ( 10.20 in ),"15.6""",NA,2019,Intel UHD Graphics 620,1.99 cm ( .78 in ),Aspire 3 A315-54,Windows 10,64 bit,2049.0,No,1.90 kg ( 4.19 lb ),38.16 cm ( 15.02 in )
8 GB RAM,Acer,128 GB SSD/1 TB HDD,Black,25.90 cm ( 10.20 in ),"15.6""",NA,2019,NVIDIA GeForce MX230 (2 GB),1.99 cm ( .78 in ),Aspire 3 A315-55,Windows 10,64 bit,2649.0,No,1.90 kg ( 4.19 lb ),38.16 cm ( 15.02 in )
8 GB RAM,Acer,128 GB SSD/1 TB HDD,Silver,25.90 cm ( 10.20 in ),"15.6""",NA,2019,NVIDIA GeForce MX250 (2 GB),1.99 cm ( .78 in ),Aspire 5 A515-54,Windows 10,64 bit,2999.0,No,2.30 kg ( 5.07 lb ),38.16 cm ( 15.02 in )
4 GB RAM,HP,1 TB HDD,Jet Black,2.25 cm ( .89 in ),"15.6""",NA,2019,Intel UHD Graphics,37.60 cm ( 14.80 in ),15-da2003nx,Windows 10,64 bit,2199.0,No,1.77 kg ( 3.90 lb ),24.60 cm ( 9.69 in )
4 GB RAM,HP,1 TB HDD,Smoke Grey,2.25 cm ( .89 in ),"15.6""",NA,2019,Intel UHD Graphics,37.60 cm ( 14.80 in ),15-da2004nx,Windows 10,64 bit,2199.0,No,1.77 kg ( 3.90 lb ),24.60 cm ( 9.69 in )
8 GB RAM,HP,128 GB SSD/1 TB HDD,Natural Silver,1.99 cm ( .78 in ),"14""",NA,2019,AMD Radeon 530 (2 GB),32.40 cm ( 12.76 in ),14-cf2000nx,Windows 10,64 bit,2799.0,No,1.47 kg ( 3.24 lb ),22.50 cm ( 8.86 in )
8 GB RAM,HP,256 GB NVMe M.2 SSD,Natural Silver,1.99 cm ( .78 in ),"14""",NA,2019,Intel GMA HD,32.40 cm ( 12.76 in ),14s-dq1004nx,Windows 10,64 bit,2399.0,No,1.51 kg ( 3.33 lb ),22.50 cm ( 8.86 in )
4 GB RAM,Dell,1 TB HDD,Platinum Silver,24.19 cm ( 9.52 in ),"14""",NA,2019,NVIDIA GeForce MX230 (2 GB),1.99 cm ( .78 in ),Inspiron 14 3493,Windows 10,64 bit,2199.0,No,1.79 kg ( 3.95 lb ),33.90 cm ( 13.35 in )
8 GB RAM,Dell,512 GB NVMe M.2 SSD,Platinum Silver,24.19 cm ( 9.52 in ),"14""",NA,2019,NVIDIA GeForce MX230 (2 GB),1.99 cm ( .78 in ),Inspiron 14 3493,Windows 10,64 bit,2499.0,No,1.79 kg ( 3.95 lb ),33.90 cm ( 13.35 in )
8 GB RAM,Dell,512 GB NVMe M.2 SSD,Platinum Silver,24.19 cm ( 9.52 in ),"14""",NA,2019,NVIDIA GeForce MX230 (2 GB),1.99 cm ( .78 in ),Inspiron 14 3493,Windows 10,64 bit,3099.0,No,1.79 kg ( 3.95 lb ),33.90 cm ( 13.35 in )
16 GB RAM,Dell,512 GB NVMe M.2 SSD/1 TB HDD,Platinum Silver,24.90 cm ( 9.80 in ),"15.6""",NA,2019,NVIDIA GeForce MX230 (4 GB),1.80 cm ( .71 in ),Inspiron 15 5593,Windows 10,64 bit,4099.0,No,2.05 kg ( 4.52 lb ),36.40 cm ( 14.33 in )
16 GB RAM,HP,512 GB SSD,Mineral Silver,1.79 cm ( .70 in ),"15.6""",NA,2019,NVIDIA GeForce GTX 1050 (3 GB),24.56 cm ( 9.67 in ),Pavilion 15-cs3002nx,Windows 10,64 bit,4599.0,No,1.94 kg ( 4.28 lb ),36.16 cm ( 14.24 in )
32 GB RAM,Dell,2 TB PCIe SSD,Silver,23.50 cm ( 9.25 in ),"15.6""",NA,2019,NVIDIA GeForce GTX 1650 (4 GB),1.12 cm ( .44 in ),XPS 15 7590,Windows 10,64 bit,14499.0,Yes,1.80 kg ( 3.97 lb ),35.70 cm ( 14.06 in )
12 GB RAM,Dell,512 GB PCIe NVMe M.2 SSD,Platinum Silver,21.70 cm ( 8.54 in ),"14""",NA,2019,NVIDIA GeForce MX230 (2 GB),1.73 cm ( .68 in ),Inspiron 14 5490,Windows 10,64 bit,3699.0,No,1.50 kg ( 3.31 lb ),32.18 cm ( 12.67 in )
16 GB RAM,Asus,1 TB PCIe NVMe M.2 SSD,Royal Blue,19.90 cm ( 7.83 in ),"14""",NA,2019,NVIDIA GeForce MX250 (2 GB),1.82 cm ( .72 in ),ZenBook 14 UX434FL,Windows 10,64 bit,4999.0,No,1.26 kg ( 2.78 lb ),31.90 cm ( 12.56 in )
8 GB RAM,Asus,512 GB PCIe NVMe M.2 SSD,Royal Blue,19.90 cm ( 7.83 in ),"14""",NA,2019,NVIDIA GeForce MX250 (2 GB),1.82 cm ( .72 in ),ZenBook 14 UX434FL,Windows 10,64 bit,3799.0,No,1.26 kg ( 2.78 lb ),31.90 cm ( 12.56 in )
4 GB RAM,Asus,1 TB HDD,Slate Grey,2.20 cm ( .87 in ),"15.6""",NA,2019,Intel UHD Graphics 620,36.00 cm ( 14.17 in ),X509FA,Windows 10,64 bit,1799.0,No,1.90 kg ( 4.19 lb ),23.50 cm ( 9.25 in )
16 GB RAM,Dell,1 TB PCIe NVMe M.2 SSD,Silver,205.93 mm ( 8.11 in ),"14""",NA,2019,NVIDIA GeForce MX250 (2 GB),14.90 mm ( .59 in ),Inspiron 14 7490,Windows 10,64 bit,5399.0,No,1.32 kg ( 2.91 lb ),319.77 mm ( 12.59 in )
16 GB RAM,Apple,256 GB SSD,Space Gray,24.07 cm ( 9.48 in ),"15.4""",Yes,2018,Radeon Pro 555X GDDR5 (4 GB),1.55 cm ( .61 in ),MacBook Pro (Retina + Touch Bar),macOS Sierra,NA,10199.0,NA,1.83 kg ( 4.03 lb ),34.93 cm ( 13.75 in )
8 GB RAM,Apple,128 GB (PCIe SSD),Gold,21.24 cm ( 8.36 in ),"13.3""",Yes,2018,Intel UHD Graphics 617,1.56 cm ( .61 in ),MacBook Air (Retina),macOS Mojave,NA,5199.0,NA,1.25 kg ( 2.76 lb ),30.41 cm ( 11.97 in )
8 GB RAM,Apple,128 GB (PCIe SSD),Space Gray,21.24 cm ( 8.36 in ),"13.3""",Yes,2018,Intel UHD Graphics 617,1.56 cm ( .61 in ),MacBook Air (Retina),macOS Mojave,NA,5199.0,NA,1.25 kg ( 2.76 lb ),30.41 cm ( 11.97 in )
16 GB RAM,Dell,1 TB SSD,Silver,199.24 mm ( 7.84 in ),"13.3""",NA,2018,Intel UHD Graphics 620,7.80 mm ( .31 in ),XPS 13 9370,Windows 10 Pro,64-bit,8099.0,Yes,1.27 kg ( 2.80 lb ),301.76 mm ( 11.88 in )
8 GB RAM,Apple,256 GB SSD,Space Gray,19.65 cm ( 7.74 in ),"12""",NA,2017,Intel HD Graphics 615,1.31 cm ( .52 in ),MacBook,macOS Sierra,Not Specified,5669.0,No,.92 kg ( 2.03 lb ),28.05 cm ( 11.04 in )
8 GB RAM,Apple,128 GB (PCIe SSD),Gold,21.24 cm ( 8.36 in ),"13.3""",Yes,2019,Intel UHD Graphics 617,1.56 cm ( .61 in ),MacBook Air (Retina),macOS Mojave,Not Specified,4799.0,No,1.25 kg ( 2.76 lb ),30.41 cm ( 11.97 in )
8 GB RAM,Apple,512 GB SSD,Space Gray,21.24 cm ( 8.36 in ),"13.3""",Yes,2018,Intel Iris Plus Graphics 655,1.49 cm ( .59 in ),MacBook Pro (Retina + Touch Bar),macOS Sierra,Not Specified,8499.0,No,1.37 kg ( 3.02 lb ),30.41 cm ( 11.97 in )
8 GB RAM,Huawei,512 GB SSD,Grey,21.10 cm ( 8.31 in ),"13""",Yes,2019,Intel UHD Graphics 620,1.49 cm ( .59 in ),MateBook 13,Windows 10,64 bit,3999.0,No,1.30 kg ( 2.87 lb ),28.60 cm ( 11.26 in )
32 GB RAM,Asus,1 TB PCIe NVMe M.2 SSD,Blue,24.60 cm ( 9.69 in ),"15.6""",NA,2019,NVIDIA GeForce RTX 2060 (6 GB),2.40 cm ( .94 in ),ZenBook Pro Duo UX581GV,Windows 10,64 bit,13999.0,Yes,2.50 kg ( 5.51 lb ),35.90 cm ( 14.13 in )
4 GB RAM,Dell,500 GB HDD,Black,260.30 mm ( 10.25 in ),"15.6""",NA,2018,Intel GMA HD,23.65 mm ( .93 in ),Inspiron 15 3573,Windows 10,64 bit,1399.0,No,2.30 kg ( 5.07 lb ),380.00 mm ( 14.96 in )
4 GB RAM,Acer,64 GB (eMMC),Black,245.00 mm ( 9.65 in ),"14""",NA,2018,Intel HD Graphics 505,179.50 mm ( 7.07 in ),Aspire 1 A114-31-C6WP,Windows 10 S,64 bit,999.0,No,1.70 kg ( 3.75 lb ),343.00 mm ( 13.50 in )
16 GB RAM,Apple,512 GB SSD,Space Gray,24.07 cm ( 9.48 in ),"15.4""",NA,2019,Radeon Pro 560X GDDR5 (4 GB),1.55 cm ( .61 in ),MacBook Pro (Retina + Touch Bar),macOS Mojave,Not Specified,12499.0,No,1.83 kg ( 4.03 lb ),34.93 cm ( 13.75 in )
8 GB RAM,Apple,128 GB SSD,Space Gray,21.24 cm ( 8.36 in ),"13.3""",NA,2019,Intel Iris Plus Graphics 645,1.49 cm ( .59 in ),MacBook Pro (Retina + Touch Bar),macOS Mojave,Not Specified,5649.0,No,1.37 kg ( 3.02 lb ),30.41 cm ( 11.97 in )
